vessel;date;fish;catch
15424;12.02.2017;A;40,106
15424;12.02.2017;K;20,1
33651;12.02.2017;A;60,06
57531;12.02.2017;D;0,06
57531;12.02.2017;A;11,33
57531;12.02.2017;K;18,62
54987;12.02.2017;A;25,2
15649;12.02.2017;D;0,432
15649;12.02.2017;A;12,06
13483;12.02.2017;F;0,189
13483;12.02.2017;A;15,48
13483;12.02.2017;B;1,26
13584;12.02.2017;M;0,7
13584;12.02.2017;A;3,84
13584;12.02.2017;B;1,44
15424;13.02.2017;S;2,62
15424;13.02.2017;C;0,02
15424;13.02.2017;D;0,5
15424;13.02.2017;P;0,04
15424;13.02.2017;A;11,066
15424;13.02.2017;O;1,68
15424;13.02.2017;B;0,572
15424;13.02.2017;K;23,56
33651;13.02.2017;A;30,03
57531;13.02.2017;D;0,1
57531;13.02.2017;A;13,662
57531;13.02.2017;K;16,24
54987;13.02.2017;A;45
15649;13.02.2017;A;34,59
15649;13.02.2017;B;5,46
13483;13.02.2017;F;0,108
13483;13.02.2017;C;0,216
13483;13.02.2017;A;7,68
13483;13.02.2017;B;15,12
15424;14.02.2017;S;0,42
15424;14.02.2017;A;24,09
15424;14.02.2017;O;0,52
15424;14.02.2017;K;25,04
33651;14.02.2017;M;0,94
33651;14.02.2017;D;1,24
33651;14.02.2017;A;15,62
33651;14.02.2017;B;3,08
33651;14.02.2017;J;0,26
33651;14.02.2017;K;3,72
33651;14.02.2017;G;0,18
57531;14.02.2017;F;0,66
57531;14.02.2017;A;19,866
57531;14.02.2017;K;4,48
54987;14.02.2017;C;4,5
54987;14.02.2017;A;25,5
15649;14.02.2017;A;9,72
15649;14.02.2017;B;0,66
13483;14.02.2017;K;1,32
15424;15.02.2017;S;0,86
15424;15.02.2017;A;18,7
15424;15.02.2017;B;0,44
15424;15.02.2017;K;30,02
33651;15.02.2017;A;40,04
57531;15.02.2017;D;0,44
57531;15.02.2017;P;0,144
57531;15.02.2017;A;11,726
57531;15.02.2017;K;17,7
54987;15.02.2017;C;3
54987;15.02.2017;A;5,52
54987;15.02.2017;B;1,5
15649;15.02.2017;D;0,432
15649;15.02.2017;A;9,63
15649;15.02.2017;B;5,43
13483;15.02.2017;A;1,08
15424;16.02.2017;A;8,008
15424;16.02.2017;B;7,062
15424;16.02.2017;K;10,04
33651;16.02.2017;M;0,74
33651;16.02.2017;A;20,042
33651;16.02.2017;K;4,28
57531;16.02.2017;A;17,27
57531;16.02.2017;B;7,81
54987;16.02.2017;A;15
54987;16.02.2017;B;5,01
13483;16.02.2017;F;4,158
13483;16.02.2017;A;10,38
13483;16.02.2017;B;10,17
15424;17.02.2017;A;11,022
15424;17.02.2017;B;4,048
15424;17.02.2017;K;35,34
33651;17.02.2017;F;1,78
33651;17.02.2017;M;0,12
33651;17.02.2017;A;39,27
33651;17.02.2017;B;3,85
33651;17.02.2017;K;1,7
33651;17.02.2017;G;3,44
57531;17.02.2017;C;3,98
57531;17.02.2017;D;0,08
57531;17.02.2017;A;39,6
57531;17.02.2017;B;6,38
54987;17.02.2017;C;4,02
54987;17.02.2017;A;18,39
54987;17.02.2017;B;3,6
13483;17.02.2017;C;1,917
13483;17.02.2017;A;10,14
13483;17.02.2017;B;12,57
15424;18.02.2017;S;0,88
15424;18.02.2017;D;0,1
15424;18.02.2017;P;0,06
15424;18.02.2017;A;45,012
15424;18.02.2017;O;0,06
15424;18.02.2017;B;0,132
15424;18.02.2017;K;4,26
33651;18.02.2017;M;0,12
33651;18.02.2017;D;0,84
33651;18.02.2017;P;0,1
33651;18.02.2017;A;31,79
33651;18.02.2017;B;14,872
33651;18.02.2017;K;2,34
57531;18.02.2017;C;2,76
57531;18.02.2017;D;0,52
57531;18.02.2017;P;0,414
57531;18.02.2017;A;55,88
57531;18.02.2017;B;0,616
57531;18.02.2017;J;0,02
54987;18.02.2017;C;2,1
54987;18.02.2017;A;21
54987;18.02.2017;B;21,9
13483;18.02.2017;F;0,567
13483;18.02.2017;C;0,972
13483;18.02.2017;A;29,34
13483;18.02.2017;B;42,9
15424;19.02.2017;A;80,212
33651;19.02.2017;A;80,014
57531;19.02.2017;M;0,14
57531;19.02.2017;A;54,34
57531;19.02.2017;B;1,606
54987;19.02.2017;A;26,01
54987;19.02.2017;B;9
13483;19.02.2017;C;0,459
13483;19.02.2017;A;13,8
13483;19.02.2017;B;20,94
15424;20.02.2017;S;0,54
15424;20.02.2017;F;1,16
15424;20.02.2017;D;0,46
15424;20.02.2017;P;1,14
15424;20.02.2017;A;55
15424;20.02.2017;O;0,08
15424;20.02.2017;B;12,386
15424;20.02.2017;K;9,24
33651;20.02.2017;A;80,08
