Owner;Ship;Ship_code;Catch_object;Date;Catch;Depth;Latitude;Longitude
e;e30;e90;ставрида;26.02.2004;11.65;60;22.2;-17.3333
e;e30;e90;скумбрия;26.02.2004;8;60;22.2;-17.3333
e;e30;e90;анчоусы;27.02.2004;11.1;340;21.2833;-17.6
e;e30;e90;ставрида;27.02.2004;27.52;340;21.2833;-17.6
e;e30;e90;скумбрия;27.02.2004;1;340;21.2833;-17.6
e;e30;e90;ставрида;28.02.2004;82.14;280;21.05;-17.6
i;i30;i90;скумбрия;25.01.2004;1;300;22.8;-17.0833
i;i30;i90;сардина;25.01.2004;12.2;300;22.8;-17.0833
i;i30;i90;ставрида;26.01.2004;29.7;143;22.6;-17.2
i;i30;i90;сабля-рыба;26.01.2004;12.8;143;22.6;-17.2
i;i30;i90;скумбрия;26.01.2004;0.3;143;22.6;-17.2
i;i30;i90;ставрида;27.01.2004;50;200;22.95;-17.0167
i;i30;i90;ставрида;28.01.2004;54;168;22.6;-17.2
i;i30;i90;скумбрия;28.01.2004;10;168;22.6;-17.2
i;i30;i90;ставрида;29.01.2004;97;153;22.7833;-17.0833
i;i30;i90;скумбрия;29.01.2004;22;153;22.7833;-17.0833
i;i30;i90;ставрида;30.01.2004;104.9;140;22.6667;-17.15
i;i30;i90;сабля-рыба;30.01.2004;1.1;140;22.6667;-17.15
i;i30;i90;скумбрия;30.01.2004;28.1;140;22.6667;-17.15
i;i30;i90;ставрида;31.01.2004;71;121;22.2833;-17.3167
i;i30;i90;скумбрия;31.01.2004;14;121;22.2833;-17.3167
i;i30;i90;сардина;31.01.2004;22.7;121;22.2833;-17.3167
i;i30;i90;ставрида;01.02.2004;59.9;113;22.2667;-17.3167
i;i30;i90;скумбрия;01.02.2004;35.6;113;22.2667;-17.3167
i;i30;i90;ставрида;02.02.2004;61.2;150;21.7833;-17.4333
i;i30;i90;скумбрия;02.02.2004;62.8;150;21.7833;-17.4333
i;i30;i90;ставрида;03.02.2004;67.7;160;21.1667;-17.5
i;i30;i90;скумбрия;03.02.2004;47.4;160;21.1667;-17.5
i;i30;i90;ставрида;04.02.2004;55.9;158;21.6167;-17.45
i;i30;i90;скумбрия;04.02.2004;24.1;158;21.6167;-17.45
i;i30;i90;сардина;04.02.2004;20;158;21.6167;-17.45
i;i30;i90;ставрида;05.02.2004;100.8;206;21.1333;-17.5333
i;i30;i90;скумбрия;05.02.2004;8.1;206;21.1333;-17.5333
i;i30;i90;ставрида;06.02.2004;76.5;212;21.15;-17.55
i;i30;i90;скумбрия;06.02.2004;4.2;212;21.15;-17.55
i;i30;i90;сардина;06.02.2004;24.8;212;21.15;-17.55
i;i30;i90;ставрида;07.02.2004;104.6;196;21.1167;-17.5333
i;i30;i90;скумбрия;07.02.2004;7.2;196;21.1167;-17.5333
i;i30;i90;ставрида;08.02.2004;100.1;193;20.9;-17.6333
